date,1961 to 1990 long-term average,1991 to 2020 long-term average,UK,UK trend
1992,1084,1162.9,1217.4,1136.3
1993,1084,1162.9,1149.7,1137.4
1994,1084,1162.9,1216.5,1138.8
1995,1084,1162.9,1050.3,1140
1996,1084,1162.9,935.2,1141.1
1997,1084,1162.9,1048.7,1144.4
1998,1084,1162.9,1298.4,1149.6
1999,1084,1162.9,1271.8,1152.8
2000,1084,1162.9,1372.5,1155.4
2001,1084,1162.9,1049.3,1156.3
2002,1084,1162.9,1280.3,1158.1
2003,1084,1162.9,900.1,1158.2
2004,1084,1162.9,1208.9,1160.2
2005,1084,1162.9,1079.7,1161.5
2006,1084,1162.9,1173.2,1164.6
2007,1084,1162.9,1195.7,1166.6
2008,1084,1162.9,1293.2,1168.4
2009,1084,1162.9,1208.1,1169.7
2010,1084,1162.9,945.4,1171.1
2011,1084,1162.9,1162.6,1173.5
2012,1084,1162.9,1329.6,1174.7
2013,1084,1162.9,1084,1173.5
2014,1084,1162.9,1292.8,1174.2
2015,1084,1162.9,1265.3,1174.7
2016,1084,1162.9,1096.5,1175
2017,1084,1162.9,1118.4,1176
2018,1084,1162.9,1053.5,1178
2019,1084,1162.9,1232.2,1178.8
2020,1084,1162.9,1333.8,1179.4
2021,1084,1162.9,1104.2,1178.7
